,location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,who_label
20,771,111,49,42,"1,31,42,49",3,0,1,21.000000,North Macedonia,North Macedonia,North Macedonia,North Macedonia,2,admin0,MKD,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,MKD,MKD,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,North Macedonia,North Macedonia
21,771,111,51,42,"1,31,42,51",3,0,1,22.000000,Poland,Poland,Poland,Poland,2,admin0,POL,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,POL,POL,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Poland,Republic of Poland
22,771,111,52,42,"1,31,42,52",3,0,1,23.000000,Romania,Romania,Romania,Romania,2,admin0,ROU,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,ROU,ROU,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Romania,Romania
23,771,111,53,42,"1,31,42,53",3,0,1,24.000000,Serbia,Serbia,Serbia,Serbia,2,admin0,SRB,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SRB,SRB,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Serbia,Republic of Serbia
24,771,111,54,42,"1,31,42,54",3,0,1,25.000000,Slovakia,Slovakia,Slovakia,Slovakia,2,admin0,SVK,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SVK,SVK,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Slovakia,Slovak Republic
25,771,111,55,42,"1,31,42,55",3,0,1,26.000000,Slovenia,Slovenia,Slovenia,Slovenia,2,admin0,SVN,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SVN,SVN,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Slovenia,Republic of Slovenia
26,771,111,56,31,"1,31,56",2,0,0,27.000000,Eastern Europe,Eastern Europe,E Europe,Eastern Europe,6,region,,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,R9,R9,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Eastern Europe,Eastern Europe
27,771,111,57,56,"1,31,56,57",3,0,1,28.000000,Belarus,Belarus,Belarus,Belarus,2,admin0,BLR,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,BLR,BLR,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Belarus,Republic of Belarus
28,771,111,58,56,"1,31,56,58",3,0,1,29.000000,Estonia,Estonia,Estonia,Estonia,2,admin0,EST,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,EST,EST,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Estonia,Republic of Estonia
29,771,111,59,56,"1,31,56,59",3,0,1,30.000000,Latvia,Latvia,Latvia,Latvia,2,admin0,LVA,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,LVA,LVA,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Latvia,Republic of Latvia
