location_name,location_id,data_date,case_inflection_date,lag
Bolivia (Plurinational State of) ,121,6/6/22,12/25/21,28
Ecuador,122,6/6/22,12/22/21,28
Peru,123,6/6/22,12/30/21,28
Antigua and Barbuda ,105,6/6/22,12/30/21,28
Bahamas,106,6/6/22,12/17/21,28
Barbados,107,6/6/22,12/18/21,28
Belize,108,6/6/22,12/24/21,28
Bermuda,305,6/6/22,12/10/21,28
Cuba,109,6/6/22,12/22/21,28
Dominica,110,6/6/22,12/28/21,28
Dominican Republic,111,6/6/22,12/18/21,28
Grenada,112,6/6/22,12/24/21,28
Guyana,113,6/6/22,12/24/21,28
Haiti,114,6/6/22,12/31/21,28
Jamaica,115,6/6/22,12/20/21,28
Puerto Rico,385,6/6/22,12/15/21,35
Saint Kitts and Nevis ,393,6/6/22,12/22/21,28
Saint Lucia ,116,6/6/22,12/20/21,28
Saint Vincent and the Grenadines,117,6/6/22,12/28/21,28
Suriname,118,6/6/22,12/24/21,28
Trinidad and Tobago,119,6/6/22,12/29/21,28
United States Virgin Islands,422,6/6/22,12/17/21,28
Colombia,125,6/6/22,12/22/21,28
Costa Rica,126,6/6/22,12/22/21,28
El Salvador ,127,6/6/22,1/4/22,28
Guatemala,128,6/6/22,12/28/21,28
Honduras,129,6/6/22,1/4/22,28
Aguascalientes,4643,6/6/22,12/18/21,28
Baja California,4644,6/6/22,12/20/21,28
Baja California Sur ,4645,6/6/22,12/10/21,28
Campeche,4646,6/6/22,12/23/21,28
Coahuila,4647,6/6/22,12/22/21,28
Colima,4648,6/6/22,12/22/21,28
Chiapas,4649,6/6/22,12/23/21,28
Chihuahua,4650,6/6/22,12/22/21,28
Mexico City,4651,6/6/22,12/15/21,28
Durango,4652,6/6/22,12/22/21,28
Guanajuato,4653,6/6/22,12/20/21,28
Guerrero,4654,6/6/22,12/20/21,28
Hidalgo,4655,6/6/22,12/18/21,28
Jalisco,4656,6/6/22,12/20/21,28
México,4657,6/6/22,12/19/21,28
Michoacán de Ocampo ,4658,6/6/22,12/20/21,28
Morelos,4659,6/6/22,12/22/21,28
Nayarit,4660,6/6/22,12/23/21,28
Nuevo Leon,4661,6/6/22,12/20/21,28
Oaxaca,4662,6/6/22,12/22/21,28
Puebla,4663,6/6/22,12/20/21,28
Querétaro,4664,6/6/22,12/20/21,28
Quintana Roo,4665,6/6/22,12/15/21,28
San Luis Potosí ,4666,6/6/22,12/17/21,28
Sinaloa,4667,6/6/22,12/20/21,28
Sonora,4668,6/6/22,12/22/21,28
Tabasco,4669,6/6/22,12/18/21,28
Tamaulipas,4670,6/6/22,12/17/21,28
Tlaxcala,4671,6/6/22,12/22/21,28
Veracruz de Ignacio de la Llave,4672,6/6/22,12/22/21,28
Yucatán,4673,6/6/22,12/15/21,28
Zacatecas,4674,6/6/22,12/17/21,28
Nicaragua,131,6/6/22,1/15/22,28
Panama,132,6/6/22,12/17/21,28
Venezuela (Bolivarian Republic of) ,133,6/6/22,1/7/22,28
Acre,4750,6/6/22,1/7/22,28
Alagoas,4751,6/6/22,1/3/22,28
Amazonas,4752,6/6/22,1/3/22,28
Amapa,4753,6/6/22,1/7/22,28
Bahia,4754,6/6/22,1/4/22,28
Ceara,4755,6/6/22,1/4/22,28
Distrito Federal ,4756,6/6/22,12/28/21,28
Espírito Santo,4757,6/6/22,1/4/22,28
Goias,4758,6/6/22,1/1/22,28
Maranhao,4759,6/6/22,1/4/22,28
Minas Gerais,4760,6/6/22,12/28/21,28
Mato Grosso do Sul,4761,6/6/22,1/4/22,28
Mato Grosso,4762,6/6/22,1/3/22,28
Pará,4763,6/6/22,1/22/22,28
Paraíba,4764,6/6/22,1/9/22,28
Paraná,4765,6/6/22,1/4/22,28
Pernambuco,4766,6/6/22,1/6/22,28
Piaui,4767,6/6/22,1/22/22,28
Rio de Janeiro,4768,6/6/22,12/30/21,28
Rio Grande do Norte ,4769,6/6/22,1/15/22,28
Rondônia ,4770,6/6/22,1/3/22,28
Roraima,4771,6/6/22,1/6/22,28
Rio Grande do Sul ,4772,6/6/22,12/31/21,28
Santa Catarina,4773,6/6/22,12/30/21,28
Sergipe ,4774,6/6/22,1/6/22,28
Sao Paulo,4775,6/6/22,12/28/21,28
Tocantins,4776,6/6/22,12/31/21,28
Paraguay,136,6/6/22,12/27/21,28
Afghanistan,160,6/6/22,1/17/22,28
Algeria,139,6/6/22,1/17/22,28
Bahrain,140,6/6/22,12/15/21,28
Egypt,141,6/6/22,1/5/22,28
Iran (Islamic Republic of) ,142,6/6/22,1/15/22,28
Iraq,143,6/6/22,1/6/22,28
Jordan,144,6/6/22,1/6/22,28
Kuwait,145,6/6/22,12/15/21,28
Lebanon,146,6/6/22,12/24/21,28
Libya,147,6/6/22,1/17/22,28
Morocco,148,6/6/22,12/15/21,28
Oman,150,6/6/22,12/22/21,28
Palestine,149,6/6/22,1/1/22,28
Qatar,151,6/6/22,12/17/21,28
Saudi Arabia,152,6/6/22,12/15/21,28
Sudan,522,6/6/22,1/5/22,28
Syrian Arab Republic,153,6/6/22,1/12/22,28
Tunisia,154,6/6/22,12/25/21,28
Turkey,155,6/6/22,12/18/21,28
United Arab Emirates,156,6/6/22,12/10/21,28
Yemen,157,6/6/22,1/7/22,28
Bangladesh,161,6/6/22,12/30/21,28
Bhutan,162,6/6/22,1/3/22,28
Andhra Pradesh,4841,6/6/22,1/3/22,21
Arunachal Pradesh,4842,6/6/22,1/1/22,21
Assam,4843,6/6/22,12/30/21,21
Bihar,4844,6/6/22,12/30/21,21
Chhattisgarh,4846,6/6/22,12/30/21,21
Dadra and Nagar Haveli and Daman and Diu,60896,6/6/22,12/31/21,21
Delhi,4849,6/6/22,12/28/21,21
Goa,4850,6/6/22,12/28/21,21
Gujarat,4851,6/6/22,12/28/21,21
Haryana,4852,6/6/22,12/27/21,21
Himachal Pradesh,4853,6/6/22,12/31/21,21
Jammu & Kashmir and Ladakh,4854,6/6/22,12/30/21,21
Jharkhand,4855,6/6/22,12/25/21,21
Karnataka,4856,6/6/22,12/30/21,21
Kerala,4857,6/6/22,1/3/22,21
Madhya Pradesh,4859,6/6/22,1/1/22,28
Maharashtra,4860,6/6/22,12/24/21,21
Manipur,4861,6/6/22,1/1/22,21
Meghalaya,4862,6/6/22,1/1/22,21
Mizoram,4863,6/6/22,1/2/22,21
Nagaland,4864,6/6/22,1/4/22,21
Odisha,4865,6/6/22,12/30/21,21
Andaman and Nicobar Islands,4840,6/6/22,12/30/21,21
Chandigarh,4845,6/6/22,1/1/22,21
Dadra and Nagar Haveli and Daman and Diu,60896,6/6/22,1/1/22,21
Lakshadweep,4858,6/6/22,1/10/22,21
Puducherry,4866,6/6/22,1/5/22,21
Punjab,4867,6/6/22,12/29/21,28
Rajasthan,4868,6/6/22,12/30/21,21
Sikkim,4869,6/6/22,1/4/22,21
Tamil Nadu,4870,6/6/22,12/28/21,21
Telangana,4871,6/6/22,12/28/21,21
Tripura,4872,6/6/22,12/31/21,21
Uttar Pradesh,4873,6/6/22,12/31/21,21
Uttarakhand,4874,6/6/22,12/30/21,21
West Bengal,4875,6/6/22,12/27/21,28
Nepal,164,6/6/22,1/5/22,28
Azad Jammu & Kashmir,53615,6/6/22,1/15/22,28
Balochistan,53616,6/6/22,1/15/22,28
Gilgit-Baltistan,53617,6/6/22,1/8/22,28
Islamabad Capital Territory,53618,6/6/22,12/30/21,28
Khyber Pakhtunkhwa,53619,6/6/22,1/8/22,28
Punjab,53620,6/6/22,12/27/21,28
Sindh,53621,6/6/22,12/27/21,28
China,6,6/6/22,2/10/22,28
China (without Hong Kong and Macao),44533,6/6/22,3/4/22,28
Anhui,491,6/6/22,3/12/22,28
Beijing,492,6/6/22,1/13/22,28
Chongqing,493,6/6/22,2/25/22,28
Fujian,494,6/6/22,3/12/22,28
Gansu,495,6/6/22,3/4/22,28
Guangdong,496,6/6/22,1/28/22,28
Guangxi,497,6/6/22,2/1/22,28
Guizhou,498,6/6/22,3/8/22,28
Hainan,499,6/6/22,3/28/22,28
Hebei,500,6/6/22,3/5/22,28
Heilongjiang,501,6/6/22,1/22/22,28
Henan,502,6/6/22,12/28/21,28
Hubei,503,6/6/22,3/4/22,28
Hunan,504,6/6/22,3/14/22,28
Inner Mongolia,505,6/6/22,2/12/22,28
Jiangsu,506,6/6/22,2/8/22,28
Jiangxi,507,6/6/22,3/14/22,28
Jilin,508,6/6/22,3/8/22,28
Liaoning,509,6/6/22,2/6/22,28
Ningxia,510,6/6/22,3/4/22,28
Qinghai,511,6/6/22,3/28/22,28
Shaanxi,512,6/6/22,12/17/21,28
Shandong,513,6/6/22,3/1/22,28
Shanghai,514,6/6/22,3/22/22,28
Shanxi,515,6/6/22,4/1/22,28
Sichuan,516,6/6/22,2/15/22,28
Tianjin,517,6/6/22,12/21/21,28
Tibet,518,6/6/22,,28
Xinjiang,519,6/6/22,1/20/22,28
Yunnan,520,6/6/22,2/8/22,28
Zhejiang,521,6/6/22,3/4/22,28
Hong Kong Special Administrative Region of China,354,6/6/22,2/10/22,28
Macao Special Administrative Region of China,361,6/6/22,,28
Democratic People's Republic of Korea,7,6/6/22,,28
Taiwan (Province of China) ,8,6/6/22,1/4/22,35
American Samoa,298,6/6/22,,28
Cook Islands,320,6/6/22,,28
Fiji,22,6/6/22,12/17/21,28
Guam,351,6/6/22,12/28/21,28
Kiribati,23,6/6/22,1/15/22,28
Marshall Islands,24,6/6/22,,28
Micronesia (Federated States of),25,6/6/22,,28
Northern Mariana Islands,376,6/6/22,1/22/22,28
Palau,380,6/6/22,1/5/22,28
Papua New Guinea,26,6/6/22,1/22/22,28
Samoa,27,6/6/22,1/15/22,28
Solomon Islands ,28,6/6/22,12/22/21,28
Tonga,29,6/6/22,2/1/22,28
Vanuatu,30,6/6/22,,28
Cambodia,10,6/6/22,2/3/22,28
Indonesia,11,6/6/22,1/15/22,28
Lao People's Democratic Republic ,12,6/6/22,3/10/22,28
Malaysia,13,6/6/22,2/3/22,28
Maldives,14,6/6/22,1/1/22,28
Mauritius,183,6/6/22,,28
Myanmar,15,6/6/22,2/3/22,28
Philippines,16,6/6/22,12/24/21,56
Seychelles,186,6/6/22,12/24/21,28
Sri Lanka,17,6/6/22,12/29/21,28
Thailand,18,6/6/22,12/29/21,35
Timor-Leste,19,6/6/22,1/27/22,28
Vietnam,20,6/6/22,2/3/22,28
Angola,168,6/6/22,12/10/21,28
Central African Republic,169,6/6/22,12/22/21,28
Congo,170,6/6/22,12/13/21,28
Democratic Republic of the Congo,171,6/6/22,11/27/21,28
Equatorial Guinea,172,6/6/22,12/24/21,28
Gabon,173,6/6/22,12/17/21,28
Burundi,175,6/6/22,12/5/21,28
Comoros,176,6/6/22,12/10/21,28
Djibouti,177,6/6/22,12/15/21,28
Eritrea,178,6/6/22,1/1/22,28
Ethiopia,179,6/6/22,12/10/21,28
Kenya,180,6/6/22,12/10/21,28
Madagascar,181,6/6/22,12/10/21,28
Malawi,182,6/6/22,12/8/21,28
Mozambique,184,6/6/22,12/3/21,28
Rwanda,185,6/6/22,12/8/21,28
Somalia,187,6/6/22,12/10/21,28
South Sudan,435,6/6/22,12/13/21,28
Uganda,190,6/6/22,12/14/21,28
United Republic of Tanzania,189,6/6/22,12/12/21,28
Zambia,191,6/6/22,12/8/21,28
Botswana,193,6/6/22,12/4/21,28
Eswatini,197,6/6/22,11/27/21,28
Lesotho,194,6/6/22,11/29/21,28
Namibia,195,6/6/22,11/28/21,28
South Africa,196,6/6/22,11/15/21,28
Zimbabwe,198,6/6/22,11/25/21,28
Benin,200,6/6/22,12/18/21,28
Burkina Faso,201,6/6/22,12/18/21,28
Cabo Verde,203,6/6/22,12/18/21,28
Cameroon,202,6/6/22,12/18/21,28
Chad,204,6/6/22,1/1/22,28
Côte d'Ivoire ,205,6/6/22,12/17/21,28
Gambia,206,6/6/22,12/26/21,28
Ghana,207,6/6/22,12/18/21,28
Guinea,208,6/6/22,12/17/21,28
Guinea-Bissau ,209,6/6/22,12/30/21,28
Liberia,210,6/6/22,12/22/21,28
Mali,211,6/6/22,12/24/21,28
Mauritania,212,6/6/22,12/23/21,28
Niger,213,6/6/22,12/24/21,28
Nigeria,214,6/6/22,12/6/21,28
Sao Tome and Principe,215,6/6/22,12/24/21,28
Senegal,216,6/6/22,12/22/21,28
Sierra Leone,217,6/6/22,12/14/21,28
Togo,218,6/6/22,12/13/21,28
