location_id,alpha,beta,gamma,delta,omicron,ba5
60392,1/15/21,,,6/15/21,12/18/21,5/10/22
82,12/15/20,,,6/1/21,11/10/21,4/26/22
83,,,,7/1/21,11/23/21,5/4/22
84,11/1/20,,,6/1/21,11/20/21,5/4/22
85,11/1/20,,,6/1/21,11/21/21,4/6/22
35507,12/1/20,,,,11/15/21,5/10/22
35511,1/1/21,,,,11/15/21,5/10/22
35512,1/15/21,,,,11/15/21,5/10/22
35509,1/1/21,,,,11/15/21,5/10/22
35502,1/1/21,,,,11/15/21,5/10/22
35501,1/15/21,,,,11/15/21,5/10/22
35506,1/15/21,,,,11/15/21,5/10/22
35496,2/1/21,,,,11/21/21,5/10/22
35497,1/1/21,,,,11/15/21,5/10/22
35505,1/1/21,,,,11/15/21,5/10/22
35508,12/1/20,,,,11/20/21,5/10/22
35494,1/15/21,,,,11/15/21,5/10/22
35498,11/15/20,,,,11/15/21,5/10/22
35499,1/1/21,,,,11/15/21,5/10/22
35510,1/15/21,,,,11/21/21,5/10/22
35514,1/15/21,,,,11/21/21,5/10/22
35513,1/15/21,,,,11/15/21,5/10/22
35503,1/1/21,,,,11/15/21,5/10/22
35504,11/15/20,,,,11/15/21,5/10/22
35495,1/15/21,,,,11/15/21,5/10/22
35500,1/1/21,,,,11/15/21,5/10/22
87,12/15/20,,,,11/26/21,5/10/22
88,12/1/20,,,,11/3/21,4/26/22
367,11/15/20,,,,11/15/21,5/10/22
89,11/1/20,,,6/1/21,12/1/21,5/10/22
90,1/1/21,,,6/15/21,12/4/21,5/7/22
91,11/1/20,,,,11/25/21,4/7/22
396,,,,,11/7/21,5/10/22
60357,11/15/20,,,5/15/21,11/10/21,4/15/22
60358,11/15/20,,,5/15/21,11/7/21,4/15/22
60365,12/1/20,,,5/15/21,11/7/21,4/15/22
60363,11/15/20,,,5/15/21,11/15/21,5/1/22
60374,11/15/20,,,5/15/21,11/17/21,4/15/22
60364,,,,5/15/21,11/12/21,5/1/22
60359,2/1/21,,,5/15/21,11/19/21,4/15/22
60367,11/15/20,,,5/15/21,11/20/21,4/15/22
60360,11/15/20,,,5/15/21,11/20/21,4/15/22
60368,11/1/20,,,5/15/21,11/7/21,5/1/22
60369,11/15/20,,,5/15/21,11/24/21,4/15/22
60361,11/1/20,,,5/15/21,11/12/21,5/1/22
60362,11/1/20,,,5/15/21,11/20/21,5/1/22
60372,11/15/20,,,5/15/21,11/20/21,5/1/22
60376,11/15/20,,,5/15/21,11/12/21,5/10/22
60373,12/1/20,,,5/15/21,11/24/21,4/15/22
